student_id,course,week,mood_score,stress_score,hours_studied,grade,satisfaction,mood_category
1,Math,1,8,2,10,90,9,Happy
1,Math,2,7,3,12,88,8,Happy
1,Math,3,7,4,14,85,7,Neutral
1,Math,4,6,5,15,82,7,Neutral
1,Math,5,5,6,18,80,6,Stressed
1,Math,6,4,8,20,75,5,Stressed
1,Math,7,5,7,16,78,6,Stressed
1,Math,8,6,5,14,82,7,Neutral
1,Math,9,7,4,12,85,8,Happy
1,Math,10,8,3,10,88,9,Happy
1,Math,11,8,2,8,90,9,Happy
1,Math,12,7,3,10,87,8,Happy
1,Math,13,6,5,15,80,7,Neutral
1,Math,14,5,7,20,75,6,Stressed
1,Math,15,8,2,5,95,10,Happy
2,History,1,9,1,5,95,10,Happy
2,History,2,9,2,6,92,9,Happy
2,History,3,8,3,7,90,8,Happy
2,History,4,8,3,8,88,8,Happy
2,History,5,7,4,10,85,7,Neutral
2,History,6,7,4,12,82,7,Neutral
2,History,7,6,5,15,80,6,Stressed
2,History,8,7,4,12,85,7,Neutral
2,History,9,8,3,10,88,8,Happy
2,History,10,9,2,8,90,9,Happy
2,History,11,9,1,6,92,10,Happy
2,History,12,8,2,8,90,9,Happy
2,History,13,7,3,10,88,8,Happy
2,History,14,6,5,15,85,7,Neutral
2,History,15,9,1,5,98,10,Happy
